"n","k","time"
"50","5","0.000018420000374317168"
"50","10","0.000011500000208616258"
"50","50","0.0000067800000309944165"
"50","100","0.0000055600002408027655"
"50","1000","0.000005780000239610673"
"100","5","0.0000024399999529123305"
"100","10","0.0000023399997502565385"
"100","50","0.000002900000289082527"
"100","100","0.000002019999548792839"
"100","1000","0.0000020600005984306337"
"500","5","0.000006199999898672104"
"500","10","0.000005520000308752061"
"500","50","0.000007620000094175339"
"500","100","0.000006279999762773514"
"500","1000","0.00010512000024318694"
"1000","5","0.000032739999890327456"
"1000","10","0.00003256000019609928"
"1000","50","0.000019780000299215317"
"1000","100","0.000018559999763965604"
"1000","1000","0.000017000000178813937"
"5000","5","0.000037560000270605085"
"5000","10","0.00003268000036478043"
"5000","50","0.000044719999656081197"
"5000","100","0.00004591999985277652"
"5000","1000","0.00007307999953627586"
"10000","5","0.00009745999984443187"
"10000","10","0.00011512000039219856"
"10000","50","0.00011816000007092952"
"10000","100","0.00010061999969184399"
"10000","1000","0.00010590000003576279"
"50000","5","0.00023849999979138375"
"50000","10","0.00025296000055968765"
"50000","50","0.00021951999962329863"
"50000","100","0.0002069400005042553"
"50000","1000","0.0002934200003743172"
"100000","5","0.0005579399999231099"
"100000","10","0.0007360799998044967"
"100000","50","0.0006228400003165008"
"100000","100","0.001052200000733137"
"100000","1000","0.0017566200003027916"
"500000","5","0.0024726799998432396"
"500000","10","0.0020067800000309944"
"500000","50","0.0020983600001782178"
"500000","100","0.002323200000450015"
"500000","1000","0.0018758000008761884"
"1000000","5","0.007326339999213814"
"1000000","10","0.007191399999707937"
"1000000","50","0.007533199999481439"
"1000000","100","0.007392700000107289"
"1000000","1000","0.007914660000056029"
"5000000","5","0.021921180000156165"
"5000000","10","0.022706140000000596"
"5000000","50","0.021469779999926684"
"5000000","100","0.02092752000018954"
"5000000","1000","0.020822280000522737"
"10000000","5","0.011801800000295043"
"10000000","10","0.0123902000002563"
"10000000","50","0.011862480000406503"
"10000000","100","0.01192408000007272"
"10000000","1000","0.012190699999779462"
"20000000","5","0.14628691999986768"
"20000000","10","0.14233038000017406"
"20000000","50","0.13807560000009836"
"20000000","100","0.14156393999941647"
"20000000","1000","0.14111750000007453"
"50000000","5","0.27717820000052457"
"50000000","10","0.2763255199998617"
"50000000","50","0.28356937999986115"
"50000000","100","0.2806272399999201"
"50000000","1000","0.27674605999961494"
